Division,PR,CollegePR
3,289.79,269.94
1,289.8,245.83
1,289.82,262.46
3,289.9,265.19
3,289.92,260.87
3,289.93,245.34
2,290.23,258.55
1,290.28,260.25
3,290.3,266.32
2,290.32,251.44
3,290.38,280.31
3,290.58,257.24
2,290.59,259.51
3,290.71,268.67
1,290.74,257.24
1,290.75,245.32
3,290.77,267.71
2,290.82,261.08
2,290.88,262.26
2,290.93,269.97
3,290.93,260.95
3,290.99,249.29
3,291.02,257.8
3,291.05,264.49
2,291.11,234.83
1,291.16,261.45
3,291.19,260.03
1,291.24,257.43
2,291.26,253.31
3,291.41,264.67
3,291.42,267.77
2,291.5,254.39
3,291.6,267.31
1,291.61,275.43
1,291.63,242.13
3,291.76,271.42
3,291.77,254.04
2,291.77,238.88
3,291.82,247.02
2,292.08,276.27
3,292.11,259.56
2,292.17,257.6
2,292.26,256.61
2,292.34,251.41
3,292.38,274.8
3,292.42,271.36
2,292.44,260.85
2,292.52,254.84
3,292.6,273.46
3,292.65,263.11
3,292.65,274.45
2,292.69,271.19
1,292.78,270.49
3,292.83,287.36
2,292.9,253.11
2,292.93,291.33
2,292.94,260.31
3,293.01,265.94
3,293.13,273.78
3,293.13,279.55
1,293.18,254.56
3,293.2,252.1
3,293.44,256.45
3,293.52,253.72
3,293.56,263.42
3,293.6,256.81
2,293.73,257.36
3,293.73,255.09
3,293.74,271.62
2,293.75,253.91
3,293.79,254.42
3,293.82,260.14
3,293.85,268.73
1,293.92,244.94
3,293.94,266.41
3,294.04,290.02
1,294.09,243.24
3,294.1,256.04
3,294.17,246.86
1,294.23,269.81
1,294.26,258.48
3,294.29,249.81
2,294.35,247.77
3,294.41,265.89
2,294.42,268.74
1,294.59,254.74
3,294.6,269.6
2,294.61,244.44
3,294.61,267.04
1,294.66,256.93
3,294.7,274.94
3,294.71,247.01
3,294.8,268.83
2,294.95,253.29
3,294.95,305.47
1,295.05,264.74
1,295.11,264.45
3,295.16,269.59
3,295.19,275.74
3,295.21,255.81
2,295.33,289.09
3,295.4,275.56
3,295.53,260.41
3,295.54,250.8
3,295.54,252.7
3,295.74,261.47
2,295.78,260.63
3,295.78,261.93
3,318.3,261.93
3,295.81,291.21
2,295.84,253.06
2,295.85,263.14
2,295.86,257.85
2,295.87,261.24
3,295.93,272.26
1,295.97,252.35
3,296.03,266.89
3,296.06,261.98
1,296.19,260.52
3,296.19,259.51
1,296.2,246.48
3,296.21,265.41
1,296.23,284.22
3,296.3,293.32
2,296.32,264.14
2,296.36,244.74
3,296.38,256.12
2,296.4,246.46
3,296.47,259.14
3,296.47,271.88
3,296.56,268.15
2,296.73,267.87
2,296.77,258.17
3,296.97,262.54
3,296.99,264.78
1,297.09,253.58
3,297.1,277.39
3,297.15,296.15
2,297.18,295.34
2,315.88,295.34
3,297.21,258.28
3,297.22,265.85
2,297.27,287.9
3,297.32,265.93
3,297.34,256.87
1,297.35,254.1
2,297.35,264.23
3,297.43,261.46
2,297.45,265.13
3,297.48,259.11
2,297.5,283.79
3,297.54,269.46
1,297.68,257.1
3,297.68,272.9
2,297.87,271.42
3,297.9,249.23
3,297.94,282.42
3,297.96,264.32
3,298,251.88
3,298.04,259.11
1,298.1,275.18
3,298.14,274.55
1,298.22,268.9
2,298.31,274.38
3,298.36,255.99
3,298.36,260.36
2,298.38,273.36
3,298.46,264.8
3,298.8,272.18
3,298.95,261.17
3,316.46,261.17
2,298.96,273.3
3,298.96,265.2
